"Year","CITATION","SAMPLE NAME","UNIQUE_ID","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","NIO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","FE(WT%)","MG(WT%)","K(WT%)","NA(WT%)","LI(PPM)","F(PPM)","S(PPM)","CL(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","CO(PPM)","NI(PPM): altern. values or methods","","","","","","CU(PPM)","ZN(PPM)","GA(PPM)","AS(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","PD(PPB)","AG(PPM)","CD(PPM)","SN(PPM)","SB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","PT(PPB)","AU(PPM)","AU(PPB)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40918","","47.08","1.36","6.28","","","","4.29","","10.54","11.15","13.26","0.41","","","","0.36","1.13","0.02","0.9","","","0.1","0.1","0.13","","","","","","","","2","","","","221","","332","4","","68","11","EMP (EPMA)","","","","","10","155","","","","1","34.5","183","","","","","","","","","","50","","40","","","","","","","","","","","","","","","","","","","","5","","","",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40920","","47.24","1.15","6.14","","","","3.85","","10.96","11.61","12.86","0.64","","","","0.48","0.76","0.05","0.9","","","0.4","0.07","0.07","","","","","","","","2","","","","140","","277","7","","56","20.5","EMP (EPMA)","","","","","6.5","156","","","","1.5","22.5","115","","","","","","","","","","20","","47","","","","","","","","","","","","","","","","","","","","4.5","","","",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40924","","45.89","1.45","6.38","","","","2.96","","14.22","10.73","11.62","0.68","","","","0.55","1.23","0.06","0.6","","","0.1","0.15","0.19","","","","","","","","3","","","","77","","252","3","","59","6","EMP (EPMA)","","","","","23.5","208","","","","1","23.5","187","","","","","","","","","","50","","65","","","","","","","","","","","","","","","","","","","","5.5","","","",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40930","","47.08","1.22","5.71","","","","1.62","","15.14","10.35","12.54","0.57","","","","0.32","1.54","0.09","0.7","","","0.1","0.04","0.05","","","","","","","","3","","","","307","","159","2","","61","7.5","EMP (EPMA)","","","","","10","218","","","","0","17.5","407","","","","","","","","","","0","","67","","","","","","","","","","","","","","","","","","","","6.5","","","",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40932","","45.75","1.44","6.84","","","","2.68","","14.48","10.91","11.3","0.74","","","","0.61","1.78","0.15","0.8","","","0.1","0.16","0.16","","","","","","","","2","","","","309","","141","2","","50","1.5","EMP (EPMA)","","","","","56","207","","","","1","24.5","308","","","","","","","","","","0","","104","","","","","","","","","","","","","","","","","","","","8","","","",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40933","","47.22","1.08","5.09","","","","4.71","","13.26","10.28","11.78","0.73","","","","0.36","1.31","0.08","0.7","","","0.1","0.18","0.11","","","","","","","","2","","","","226","","210","2","","57","2.5","EMP (EPMA)","","","","","13.5","188","","","","2","16","335","","","","","","","","","","10","","116","","","","","","","","","","","","","","","","","","","","6.5","","","",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40937","","48.65","1.58","4.98","","","","3.86","","7.64","11.25","15.1","1.15","","","","0.3","0.99","0.13","0.7","","","0.1","0.17","0.03","","","","","","","","0","","","","85","","117","1","","40","1","EMP (EPMA)","","","","","51","264","","","","2","23","180","","","","","","","","","","0","","81","","","","","","","","","","","","","","","","","","","","5","","","",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40938","","49.62","0.96","4.55","","","","3.12","","8.59","11.36","15.45","0.88","","","","0.37","0.22","0.07","1","","","0.1","0.1","0.05","","","","","","","","3","","","","96","","103","2","","41","12","EMP (EPMA)","","","","","12","189","","","","3","27","122","","","","","","","","","","10","","65","","","","","","","","","","","","","","","","","","","","4","","","",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40920","","36.15","3.47","14.31","","","","1.81","","16.36","0.21","12.84","0.4","","","","9.24","0.17","0","3.4","","","0.2","0.13","0.16","","","","","","","","29","","","","29","","373","15","","86","34.5","EMP (EPMA)","","","","","51","272","","","","190","2","2","","","","","","","","","","2035","","5","","","","","","","","","","","","","","","","","","","","6","","","",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40922","","35.71","4.69","13.31","","","","0.88","","18.44","0.2","11.83","0.23","","","","9.03","0.32","0.03","2.4","","","0.4","0.27","0.41","","","","","","","","24","","","","38","","289","4","","95","18","EMP (EPMA)","","","","","52","273","","","","239","9.5","16","","","","","","","","","","1895","","6","","","","","","","","","","","","","","","","","","","","7","","","",
